,SCR,FCR,Total
Aquisicoes,36029.3,228774.5,264803.8
Alienacoes,6077.8,62537.3,68615.1
Investimento Liquido,29951.5,166237.2,196188.7
Valor das Transaccoes,42107.1,291311.8,333418.9
Rotacao das Carteiras,0.171,0.228,0.219
